YEAR,QUARTER,ID,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6
2000,1,20,2.9,3.0,2.9,2.8,3.1,3.2
2000,1,40,2.9,2.6,3.2,2.9,2.8,2.9
2000,1,65,2.9,1.7,1.8,1.9,2.0,1.9
2000,1,84,2.9,2.6,2.8,3.0,3.0,
2000,1,94,2.9,2.1,2.3,2.3,2.1,2.1
2000,1,407,2.9,3.2,2.5,2.6,2.7,2.9
2000,1,411,2.9,2.4,2.2,2.0,2.5,2.6
2000,1,414,2.9,2.4,2.4,2.3,2.3,2.2
2000,1,420,2.9,2.3,2.4,2.5,2.7,2.8
2000,1,421,2.9,3.1,2.8,2.4,2.1,1.9
2000,1,426,2.9,2.3,2.3,2.3,2.5,2.5
2000,1,428,,,,,,
2000,1,429,2.9,3.7,3.0,2.8,2.7,2.6
2000,1,431,2.9,2.4,2.2,2.2,2.5,2.5
2000,1,433,2.9,2.6,2.4,2.1,2.2,2.2
2000,1,456,2.9,2.7,2.6,2.3,2.6,2.6
2000,1,463,2.9,2.3,2.4,2.3,2.5,2.5
2000,1,464,2.9,2.7,2.3,2.3,2.5,2.7
2000,1,465,2.9,2.3,2.2,2.0,2.0,2.0
2000,1,469,2.9,3.0,3.1,3.1,3.2,3.2
2000,1,470,2.9,2.3,2.5,2.5,2.3,2.0
2000,1,472,2.9,3.0,2.5,1.8,1.8,
2000,1,481,2.9,2.0,2.2,2.5,2.3,2.3
2000,1,484,2.9,2.95,3.45,3.35,3.15,3.2
2000,1,486,2.9,3.1,2.6,2.8,3.0,
2000,1,498,2.9,2.3,1.5,1.3,1.5,1.7
2000,1,499,2.9,1.5,1.8,2.7,1.9,2.2
2000,1,500,2.9,1.8,3.9,2.9,2.8,1.5
2000,1,501,2.9,2.5,2.2,2.2,2.5,2.8
2000,1,504,2.9,2.5,1.6,1.7,1.7,
2000,1,506,2.9,2.5,2.5,2.5,2.4,2.3
2000,1,507,2.9,3.0,2.8,2.9,2.8,2.8
2000,1,508,,,,,,
2000,1,510,2.9,2.4,2.0,1.8,1.6,1.5
2000,1,512,2.9,2.7,2.6,2.4,2.3,2.3
2000,1,513,2.9,3.0,3.2,3.2,3.3,3.4
2000,2,20,4.0,4.2,4.2,4.3,4.3,4.4
2000,2,65,4.0,2.8,2.7,2.6,2.5,2.5
2000,2,84,4.0,3.0,3.2,3.2,3.2,
2000,2,407,4.0,2.9,2.3,2.6,2.7,2.8
2000,2,420,4.0,3.6,2.7,3.0,2.9,3.1
2000,2,421,4.0,3.2,2.3,2.3,1.9,2.0
2000,2,423,4.0,4.53,2.87,2.67,2.65,2.65
