YEAR,QUARTER,ID,EMP1,EMP2,EMP3,EMP4,EMP5,EMP6
2000,1,20,,,,,,
2000,1,40,,,,,,
2000,1,65,,,,,,
2000,1,84,,,,,,
2000,1,94,,,,,,
2000,1,407,,,,,,
2000,1,411,,,,,,
2000,1,414,,,,,,
2000,1,420,,,,,,
2000,1,421,,,,,,
2000,1,426,,,,,,
2000,1,428,,,,,,
2000,1,429,,,,,,
2000,1,431,,,,,,
2000,1,433,,,,,,
2000,1,456,,,,,,
2000,1,463,,,,,,
2000,1,464,,,,,,
2000,1,465,,,,,,
2000,1,469,,,,,,
2000,1,470,,,,,,
2000,1,472,,,,,,
2000,1,481,,,,,,
2000,1,484,,,,,,
2000,1,486,,,,,,
2000,1,498,,,,,,
2000,1,499,,,,,,
2000,1,500,,,,,,
2000,1,501,,,,,,
2000,1,504,,,,,,
2000,1,506,,,,,,
2000,1,507,,,,,,
2000,1,508,,,,,,
2000,1,510,,,,,,
2000,1,512,,,,,,
2000,1,513,,,,,,
2000,2,20,,,,,,
2000,2,65,,,,,,
2000,2,84,,,,,,
2000,2,407,,,,,,
2000,2,420,,,,,,
2000,2,421,,,,,,
2000,2,423,,,,,,
2000,2,426,,,,,,
2000,2,428,,,,,,
2000,2,431,,,,,,
2000,2,433,,,,,,
2000,2,439,,,,,,
2000,2,446,,,,,,
2000,2,456,,,,,,
2000,2,458,,,,,,
2000,2,463,,,,,,
2000,2,465,,,,,,
2000,2,469,,,,,,
2000,2,472,,,,,,
2000,2,475,,,,,,
2000,2,483,,,,,,
2000,2,484,,,,,,
2000,2,486,,,,,,
2000,2,497,,,,,,
2000,2,498,,,,,,
2000,2,500,,,,,,
2000,2,501,,,,,,
2000,2,502,,,,,,
2000,2,506,,,,,,
2000,2,507,,,,,,
2000,2,508,,,,,,
2000,2,510,,,,,,
2000,2,512,,,,,,
2000,2,513,,,,,,
2000,3,20,,,,,,
2000,3,40,,,,,,
2000,3,65,,,,,,
2000,3,84,,,,,,
2000,3,407,,,,,,
2000,3,420,,,,,,
2000,3,421,,,,,,
2000,3,423,,,,,,
2000,3,426,,,,,,
2000,3,428,,,,,,
2000,3,431,,,,,,
2000,3,433,,,,,,
2000,3,446,,,,,,
2000,3,456,,,,,,
2000,3,463,,,,,,
2000,3,464,,,,,,
2000,3,472,,,,,,
2000,3,475,,,,,,
2000,3,484,,,,,,
2000,3,485,,,,,,
2000,3,497,,,,,,
2000,3,498,,,,,,
2000,3,499,,,,,,
2000,3,500,,,,,,
2000,3,501,,,,,,
2000,3,502,,,,,,
2000,3,504,,,,,,
2000,3,506,,,,,,
2000,3,507,,,,,,
2000,3,508,,,,,,
2000,3,510,,,,,,
2000,3,512,,,,,,
2000,4,20,,,,,,
2000,4,40,,,,,,
2000,4,65,,,,,,
2000,4,84,,,,,,
2000,4,99,,,,,,
2000,4,407,,,,,,
2000,4,411,,,,,,
2000,4,420,,,,,,
2000,4,421,,,,,,
2000,4,423,,,,,,
2000,4,426,,,,,,
2000,4,428,,,,,,
2000,4,431,,,,,,
2000,4,433,,,,,,
2000,4,439,,,,,,
2000,4,446,,,,,,
2000,4,456,,,,,,
2000,4,463,,,,,,
2000,4,465,,,,,,
2000,4,475,,,,,,
2000,4,483,,,,,,
2000,4,485,,,,,,
