YEAR,QUARTER,ID,RECESS1,RECESS2,RECESS3,RECESS4,RECESS5
2000,1,20,0.0,0.0,0.0,0.0,0.0
2000,1,40,,,,,
2000,1,65,0.0,5.0,10.0,15.0,20.0
2000,1,84,0.0,2.0,5.0,10.0,15.0
2000,1,94,15.0,10.0,15.0,20.0,20.0
2000,1,407,5.0,5.0,5.0,5.0,10.0
2000,1,411,0.0,2.0,10.0,10.0,10.0
2000,1,414,0.0,5.0,10.0,20.0,30.0
2000,1,420,5.0,5.0,5.0,5.0,10.0
2000,1,421,20.0,20.0,25.0,30.0,35.0
2000,1,426,30.0,25.0,25.0,30.0,30.0
2000,1,428,0.0,10.0,15.0,20.0,25.0
2000,1,429,,,,,
2000,1,431,35.0,15.0,15.0,15.0,15.0
2000,1,433,0.0,0.0,10.0,15.0,15.0
2000,1,456,0.0,1.0,5.0,5.0,10.0
2000,1,463,0.0,5.0,8.0,10.0,12.0
2000,1,464,2.0,3.0,10.0,15.0,20.0
2000,1,465,0.0,0.0,0.0,0.0,0.0
2000,1,469,0.0,10.0,15.0,25.0,25.0
2000,1,470,0.0,0.0,0.0,0.0,25.0
2000,1,472,0.0,0.0,0.0,0.0,5.0
2000,1,481,0.0,5.0,10.0,15.0,15.0
2000,1,484,15.0,9.0,10.0,10.0,15.0
2000,1,486,0.0,15.0,15.0,15.0,15.0
2000,1,498,,,,,
2000,1,499,0.0,10.0,20.0,25.0,30.0
2000,1,500,3.0,5.0,10.0,10.0,10.0
2000,1,501,10.0,10.0,15.0,20.0,25.0
2000,1,504,5.0,20.0,25.0,30.0,35.0
2000,1,506,11.0,2.0,3.0,4.0,6.0
2000,1,507,5.0,5.0,3.0,10.0,15.0
2000,1,508,5.0,10.0,15.0,15.0,15.0
2000,1,510,0.0,0.0,0.0,10.0,20.0
2000,1,512,0.0,0.0,0.0,0.0,20.0
2000,1,513,5.0,5.0,5.0,20.0,20.0
2000,2,20,0.0,0.0,0.0,0.0,0.0
2000,2,65,0.0,0.0,5.0,15.0,25.0
2000,2,84,0.0,1.0,5.0,10.0,15.0
2000,2,407,5.0,5.0,5.0,10.0,10.0
2000,2,420,5.0,5.0,5.0,10.0,10.0
2000,2,421,1.0,10.0,30.0,40.0,40.0
2000,2,423,1.0,2.0,3.0,6.0,8.0
2000,2,426,5.0,10.0,15.0,20.0,25.0
2000,2,428,5.0,10.0,15.0,15.0,20.0
2000,2,431,,,,,
2000,2,433,0.0,10.0,20.0,20.0,20.0
2000,2,439,0.0,5.0,15.0,15.0,15.0
2000,2,446,0.0,10.0,20.0,40.0,40.0
2000,2,456,0.0,5.0,10.0,15.0,20.0
2000,2,458,0.0,0.0,5.0,5.0,10.0
2000,2,463,0.0,2.0,10.0,18.0,28.0
2000,2,465,0.0,0.0,0.0,0.0,0.0
2000,2,469,0.0,0.0,10.0,20.0,25.0
2000,2,472,0.0,0.0,10.0,30.0,50.0
2000,2,475,5.0,5.0,10.0,15.0,20.0
2000,2,483,5.0,10.0,14.0,20.0,25.0
2000,2,484,6.0,8.0,8.0,12.0,9.0
2000,2,486,0.0,0.0,0.0,10.0,15.0
2000,2,497,1.0,2.0,10.0,15.0,20.0
2000,2,498,,,,,
2000,2,500,,,,,
2000,2,501,1.0,10.0,20.0,25.0,25.0
